"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Oct 14 16:23:03 GMT 2022","Fri Oct 14 16:23:07 GMT 2022","3719","","IssueSelenideTest","","IssueSelenideTest","checkIssueTest","Check issue simple selenide",""
"broken","Fri Oct 14 16:23:07 GMT 2022","Fri Oct 14 16:23:07 GMT 2022","203","","IssueAnnotatedStepTest","","IssueAnnotatedStepTest","testAnnotatedStep","Check issue by steps",""
"broken","Fri Oct 14 16:23:07 GMT 2022","Fri Oct 14 16:23:07 GMT 2022","273","","IssueLambdaTest","","IssueLambdaTest","checkIssueTest","Check issue by lambda",""
